roi,sim_atrophy
R_lateralorbitofrontal,-1.082071881269989
R_parsorbitalis,-0.4840280528508046
R_frontalpole,-0.46996053427647366
R_medialorbitofrontal,-1.462375273586651
R_parstriangularis,-0.620626549243446
R_parsopercularis,-0.7407771044439677
R_rostralmiddlefrontal,-1.1900771514087647
R_superiorfrontal,-1.2200248797144866
R_caudalmiddlefrontal,-0.7270865134774877
R_precentral,-1.1415824171297355
R_paracentral,-0.8547790611646378
R_rostralanteriorcingulate,-0.5755223873162963
R_caudalanteriorcingulate,-0.5546685042014514
R_posteriorcingulate,-0.7487355422413027
R_isthmuscingulate,-1.0058732362353102
R_postcentral,-0.6023910289628712
R_supramarginal,-0.8201019999047224
R_superiorparietal,-1.7945477698550232
R_inferiorparietal,-0.8429164355781112
R_precuneus,-1.272252280718082
R_cuneus,-0.9247297775556981
R_pericalcarine,-0.8284731465935962
R_lateraloccipital,-0.9786275684539157
R_lingual,-1.0548050444223667
R_fusiform,-1.3151268477131928
R_parahippocampal,-1.2058408201328776
R_entorhinal,-1.567196222703708
R_temporalpole,-0.9712273938504098
R_inferiortemporal,-1.0147067071435392
R_middletemporal,-1.3957221799778776
R_bankssts,-0.3656454896318616
R_superiortemporal,-1.0343709132242616
R_transversetemporal,-0.0
R_insula,-1.5317638552176887
L_lateralorbitofrontal,-1.0137905310937918
L_parsorbitalis,-0.40399839784085995
L_frontalpole,-0.18236655776228156
L_medialorbitofrontal,-0.669710431111509
L_parstriangularis,-0.7785503012970424
L_parsopercularis,-0.576617461096812
L_rostralmiddlefrontal,-1.175991964639615
L_superiorfrontal,-1.384264512028469
L_caudalmiddlefrontal,-0.8202878758311688
L_precentral,-1.081531043865431
L_paracentral,-1.1038431221802938
L_rostralanteriorcingulate,-0.5872219929618382
L_caudalanteriorcingulate,-0.5457924950015933
L_posteriorcingulate,-0.4485611796006812
L_isthmuscingulate,-1.5868069194866212
L_postcentral,-0.9129190683054368
L_supramarginal,-0.7101022371565973
L_superiorparietal,-1.5455427553993786
L_inferiorparietal,-1.0630529420073445
L_precuneus,-1.1325042222358996
L_cuneus,-0.8509263149772053
L_pericalcarine,-0.8780291381492716
L_lateraloccipital,-1.221684978384063
L_lingual,-1.451171095965618
L_fusiform,-1.8013781973540888
L_parahippocampal,-2.0
L_entorhinal,-0.9508613935015049
L_temporalpole,-1.518370004012236
L_inferiortemporal,-1.1740243850479088
L_middletemporal,-1.2678523774120607
L_bankssts,-0.5114278423728067
L_superiortemporal,-1.2047609980378775
L_transversetemporal,-1.0649150813228725
L_insula,-1.2682765121761983
